sample	class	type	oxidation_state	T_K	IS_mm_s	IS_err	QS_mm_s	QS_err	Bhf_T	Bhf_err	site	site_total	model	reference	reference_url
Nanomagnetite	Multiple Oxides	S	3	140.0	0.37		0.0		49.4		1	2	VBF	Byrne et al. 2016	https://www.nature.com/articles/srep30969
Nanomagnetite	Multiple Oxides	S	2.5	140.0	0.75		-0.01		47.2		2	2	VBF	Byrne et al. 2016	https://www.nature.com/articles/srep30969
Micromagnetite	Multiple Oxides	S	3	140.0	0.36		0.0		50.1		1	2	VBF	Byrne et al. 2016	https://www.nature.com/articles/srep30969
Micromagnetite	Multiple Oxides	S	2.5	140.0	0.76		0.0		47.8		2	2	VBF	Byrne et al. 2016	https://www.nature.com/articles/srep30969
Pyrite		E	2	295.0	0.36		0.54						VBF	Ruecker et al. 2016	http://europepmc.org/abstract/MED/27258848
Jarosite		E		295.0	0.38		1.31						VBF	Ruecker et al. 2016	http://europepmc.org/abstract/MED/27258848
Goethite		E	3	295.0	0.39		-0.25		19.2				VBF	Ruecker et al. 2016	http://europepmc.org/abstract/MED/27258848
Hematite		E	3	295.0	0.38		-0.21		47.9				VBF	Ruecker et al. 2016	http://europepmc.org/abstract/MED/27258848
Lake Sediment		E	3	295.0	0.36		0.97						VBF	Ruecker et al. 2016	http://europepmc.org/abstract/MED/27258848
Lake Sediment		E	2	295.0	1.29		2.29						VBF	Ruecker et al. 2016	http://europepmc.org/abstract/MED/27258848
Siderite		B		140.0	1.34		2.15						VBF	Sundman et al. 2017	https://geochemicaltransactions.springeropen.com/articles/10.1186/s12932-017-0044-1
Magnetite		B		140.0	0.36		0.01		49.2		1	2	VBF	Sundman et al. 2017	https://geochemicaltransactions.springeropen.com/articles/10.1186/s12932-017-0044-1
Magnetite		B		140.0	0.74		-0.04		46.9		2	2	VBF	Sundman et al. 2017	https://geochemicaltransactions.springeropen.com/articles/10.1186/s12932-017-0044-1
Muscovite	Phyllosilicate	U	2	295.0	1.18	0.02	3.0	0.02			1	4	Unkn	Pollak and Stevens 1986	https://link.springer.com/article/10.1007/BF02399439
Muscovite	Phyllosilicate	U	2	295.0	1.14	0.01	2.13	0.02			2	4	Unkn	Pollak and Stevens 1986	https://link.springer.com/article/10.1007/BF02399439
Muscovite	Phyllosilicate	U	3	295.0	0.4	0.1	0.89	0.02			3	4	Unkn	Pollak and Stevens 1986	https://link.springer.com/article/10.1007/BF02399439
Biotite	Phyllosilicate	U	2	295.0	1.14	0.01	2.6	0.02			1	4	Unkn	Pollak and Stevens 1986	https://link.springer.com/article/10.1007/BF02399439
Biotite	Phyllosilicate	U	3	295.0	0.43	0.03	0.81	0.06			3	4	Unkn	Pollak and Stevens 1986	https://link.springer.com/article/10.1007/BF02399439
Glauconite	Phyllosilicate	U	2	295.0	1.15	0.04	2.68	0.06			1	4	Unkn	Pollak and Stevens 1986	https://link.springer.com/article/10.1007/BF02399439
Chlorite	Phyllosilicate	U	2	295.0	1.14	0.02	2.67	0.02			1	4	Unkn	Pollak and Stevens 1986	https://link.springer.com/article/10.1007/BF02399439
Nontronite	Phyllosilicate	U	2	295.0	1.34	0.05	2.28	0.05			1	3	Unkn	Pollak and Stevens 1986	https://link.springer.com/article/10.1007/BF02399439
Kaolinite	Phyllosilicate	U	2	295.0	1.13	0.05	2.53	0.05			1	2	Unkn	Pollak and Stevens 1986	https://link.springer.com/article/10.1007/BF02399439
Illite	Phyllosilicate	U	2	295.0	1.15	0.04	2.79	0.09			1	4	Unkn	Pollak and Stevens 1986	https://link.springer.com/article/10.1007/BF02399439
Green Rust (Cl)	Hydroxides and Oxides containing hydroxyl	S	2	78.0	1.26		2.8				1	3	Lor	Genin et al. 1998	http://pubs.acs.org/doi/abs/10.1021/es970547m
Green Rust (Cl)	Hydroxides and Oxides containing hydroxyl	S	3	78.0	1.27		2.55				2	3	Lor	Genin et al. 1998	http://pubs.acs.org/doi/abs/10.1021/es970547m
Green Rust (Cl)	Hydroxides and Oxides containing hydroxyl	S	2	78.0	0.48		0.38				3	3	Lor	Genin et al. 1998	http://pubs.acs.org/doi/abs/10.1021/es970547m
Hematite	Simple Oxides	S		295.0	0.37		-0.2		51.8		1	1	Unkn	Murad E. 1996	https://link.springer.com/article/10.1007/BF00207766
Maghemite	Multiple Oxides	S		295.0	0.23		0.02		50.0		1	2	Unkn	Murad E. 1996	https://link.springer.com/article/10.1007/BF00207766
Magnetite	Multiple Oxides	E		298.0	0.25	0.02	0.0		49.3	0.3	1	2	0	Evans B.J. and Hafner S.S. 1969	http://aip.scitation.org/doi/abs/10.1063/1.1657696
Magnetite	Multiple Oxides	E		298.0	0.65	0.02	0.0		46.0	0.1	2	2	0	Evans B.J. and Hafner S.S. 1969	http://aip.scitation.org/doi/abs/10.1063/1.1657696
Vivianite	Hydrated normal phosphases, arsenates and vanadates	S	2	295.0	1.21	0.01	2.98	0.01			1	4	0	Amthauer G. and Rossman G.R. 1984	https://link.springer.com/article/10.1007/BF00309374
