serie,caso,version,parametro,verdadero,ajustado,sigma,z,abs_delta,chi2red,convergido,t_ajuste_s,nota
A1b,A1b_g0.30,v0,s1_gamma1,0.3,0.299999,6.31e-07,-1.48,9.32e-07,,si,0.0,singlete barrido Gamma
A1b,A1b_g0.30,v0,s1_depth,0.0353678,0.0353745,4.84e-08,138.09,6.69e-06,,si,0.0,singlete barrido Gamma
A1b,A1b_g0.40,v0,s1_delta,0,1.27823e-14,3e-07,0.00,1.28e-14,,si,0.0,singlete barrido Gamma
A1b,A1b_g0.40,v0,s1_gamma1,0.4,0.4,9.24e-07,-0.48,4.4e-07,,si,0.0,singlete barrido Gamma
A1b,A1b_g0.40,v0,s1_depth,0.0265258,0.0265325,3.93e-08,169.12,6.65e-06,,si,0.0,singlete barrido Gamma
A1b,A1b_g0.60,v0,s1_delta,0,2.48504e-14,6.34e-07,0.00,2.49e-14,,si,0.0,singlete barrido Gamma
A1b,A1b_g0.60,v0,s1_gamma1,0.6,0.599999,2.03e-06,-0.33,6.76e-07,,si,0.0,singlete barrido Gamma
A1b,A1b_g0.60,v0,s1_depth,0.0176839,0.0176905,3.71e-08,177.37,6.57e-06,,si,0.0,singlete barrido Gamma
A1b,A1b_g1.00,v0,s1_delta,0,6.3358e-14,1.31e-06,0.00,6.34e-14,,si,0.0,singlete barrido Gamma
A1b,A1b_g1.00,v0,s1_gamma1,1,0.999997,4.56e-06,-0.76,3.46e-06,,si,0.0,singlete barrido Gamma
A1b,A1b_g1.00,v0,s1_depth,0.0106103,0.0106169,2.75e-08,236.88,6.52e-06,,si,0.0,singlete barrido Gamma
A1c,A1c_p0.5pc,v0,s1_delta,0,-9.55476e-13,4e-06,-0.00,9.55e-13,,si,0.0,singlete profundidad 0.5%
A1c,A1c_p0.5pc,v0,s1_gamma1,0.25,0.250027,1.19e-05,2.27,2.7e-05,,si,0.0,singlete profundidad 0.5%
A1c,A1c_p0.5pc,v0,s1_depth,0.00166667,0.00166652,5.33e-08,-2.68,1.43e-07,,si,0.0,singlete profundidad 0.5%
A1c,A1c_p2pc,v0,s1_delta,0,6.78185e-14,1.09e-06,0.00,6.78e-14,,si,0.0,singlete profundidad 2%
A1c,A1c_p2pc,v0,s1_gamma1,0.25,0.250002,3.23e-06,0.61,1.98e-06,,si,0.0,singlete profundidad 2%
A1c,A1c_p2pc,v0,s1_depth,0.00666667,0.00666677,5.78e-08,1.84,1.06e-07,,si,0.0,singlete profundidad 2%
A1c,A1c_p5pc,v0,s1_delta,0,1.37385e-14,4.27e-07,0.00,1.37e-14,,si,0.0,singlete profundidad 5%
