# velocidad_mm_s datos_norm ajuste_norm residuo cuentas_dobladas
0.9782541176 0.9861399134 0.983842016 0.002297897434 413830.1186
1.071421176 0.9889096827 0.9859429728 0.002966709914 414992.4425
1.164588235 0.9883465475 0.9880434025 0.0003031449273 414756.1248
1.257755294 0.9886743491 0.9894495255 -0.0007751764278 414893.6856
1.350922353 0.9884427299 0.9900839007 -0.001641170734 414796.4874
1.444089412 0.9901255669 0.9896024331 0.000523133881 415502.684
1.537256471 0.9879222566 0.987838526 8.373061012e-05 414578.0726
1.630423529 0.9874978387 0.984398111 0.003099727787 414399.9672
1.723590588 0.9853531907 0.9804578442 0.004895346461 413499.9732
1.816757647 0.9813659853 0.9771183146 0.004247670614 411826.7566
1.909924706 0.9757139181 0.9750994468 0.0006144712467 409454.8866
2.003091765 0.9738035177 0.9790998181 -0.005296300403 408653.1939
2.096258824 0.9821339502 0.9852696554 -0.003135705185 412149.0304
2.189425882 0.9843461358 0.9890445108 -0.004698375017 413077.3662
2.282592941 0.9885711171 0.9908752517 -0.00230413466 414850.3646
2.37576 0.9926102089 0.9918849784 0.0007252305517 416545.3552
2.468927059 0.9898748061 0.9924438943 -0.002569088274 415397.4531
2.562094118 0.9928384269 0.9924143431 0.0004240838399 416641.1261
2.655261176 0.9910269841 0.9917706752 -0.0007436910963 415880.9605
2.748428235 0.989774749 0.9907566719 -0.0009819228729 415355.4645
2.841595294 0.9890622454 0.9887760641 0.0002861813237 415056.4649
2.934762353 0.9865429808 0.9853623047 0.001180676153 413999.2644
3.027929412 0.9854199131 0.9808969343 0.004522978783 413527.973
3.121096471 0.9838859145 0.9797134444 0.004172470124 412884.236
3.214263529 0.9792042597 0.9819134166 -0.002709156969 410919.5961
3.307430588 0.9720110637 0.9815157761 -0.009504712383 407900.9969
3.400597647 0.9689444502 0.9773538231 -0.008409372855 406614.1035
3.493764706 0.9715370781 0.9749472679 -0.003410189807 407702.0906
3.586931765 0.9815447771 0.9804544231 0.001090353975 411901.786
3.680098824 0.9866531746 0.9867761508 -0.0001229761987 414045.5068
3.773265882 0.9895981922 0.9904097936 -0.0008116014647 415281.373
3.866432941 0.993319733 0.9925063874 0.000813345603 416843.1044
3.9596 0.9931889267 0.9937863818 -0.0005974550819 416788.2121
4.052767059 0.9931131542 0.9944733151 -0.001360160909 416756.4144
4.145934118 0.9950087054 0.9948854297 0.0001232756422 417551.8757
4.239101176 0.9951953036 0.9949279557 0.0002673479636 417630.181
