# velocidad_mm/s	Normos_PLT_exp	Mio_norm_fp256.559647	diferencia_mio-Normos	Mio_cuentas_raw
5.45030000	0.995725	0.995611	-0.00011357	417807.222816
5.54340000	0.994504	0.994607	0.00010335	417385.863312
5.63660000	0.995736	0.995760	0.00002352	417869.371566
5.72980000	0.996954	0.996967	0.00001283	418376.017340
5.82290000	0.996740	0.996828	0.00008832	418317.891621
5.91610000	0.999899	0.999639	-0.00026010	419497.346133
6.00930000	0.997137	0.997234	0.00009654	418487.940613
6.10240000	0.997176	0.997305	0.00012898	418517.920817
6.19560000	0.998941	0.998921	-0.00001977	419196.179254
6.28880000	0.999011	0.998975	-0.00003553	419218.939152
6.38190000	0.999698	0.999508	-0.00018989	419442.460830
6.47510000	0.997914	0.997974	0.00006049	418798.879765
6.56830000	0.998349	0.998406	0.00005732	418980.097356
6.66140000	0.996769	0.996885	0.00011634	418341.821005
6.75460000	0.997714	0.997730	0.00001583	418696.210279
6.84780000	0.999117	0.999155	0.00003764	419294.127493
6.94090000	1.000882	1.000723	-0.00015894	419952.314742
7.03410000	0.999092	0.999168	0.00007585	419299.672515
7.12730000	0.997742	0.997782	0.00003974	418717.992374
7.22040000	0.997442	0.997383	-0.00005908	418550.627234
7.31360000	0.998400	0.998320	-0.00007975	418943.978430
7.40680000	0.998837	0.998830	-0.00000670	419158.017654
7.49990000	0.998438	0.998543	0.00010459	419037.280841
7.59310000	0.997105	0.997173	0.00006816	418462.600699
7.68630000	0.999810	0.999575	-0.00023474	419470.642226
7.77940000	0.996409	0.996543	0.00013358	418197.978636
7.87260000	0.998379	0.998190	-0.00018928	418889.199418
7.96580000	0.996585	0.996736	0.00015083	418279.076620
8.05900000	0.996375	0.996456	0.00008093	418161.618039
8.15210000	0.998267	0.998209	-0.00005759	418897.462291
8.24530000	1.000272	1.000110	-0.00016167	419695.181450
8.33850000	0.996501	0.996658	0.00015713	418246.469495
8.43160000	0.998122	0.998046	-0.00007595	418828.909956
8.52480000	0.997869	0.997915	0.00004600	418773.915073
8.61800000	0.998394	0.998430	0.00003628	418990.150318
8.71110000	0.999026	0.998970	-0.00005556	419216.827171
8.80430000	0.998804	0.998859	0.00005469	419169.934241
8.89750000	0.998623	0.998634	0.00001124	419075.741930
8.99060000	0.997689	0.997621	-0.00006826	418650.429124
9.08380000	0.995467	0.995645	0.00017839	417821.476181
9.17700000	0.999285	0.999057	-0.00022759	419253.326338
9.27010000	0.996609	0.996801	0.00019152	418306.225110
9.36330000	1.000146	0.999994	-0.00015237	419646.207617
9.45650000	0.999140	0.999285	0.00014459	419348.660919
9.54960000	1.000663	1.000680	0.00001665	419934.097984
9.64280000	1.000071	0.999963	-0.00010830	419633.227986
9.73600000	0.999615	0.999591	-0.00002380	419477.330200
9.82910000	0.999882	0.999891	0.00000949	419603.347226
9.92230000	0.999094	0.999180	0.00008556	419304.586388
10.01550000	1.001571	1.001408	-0.00016318	420239.674451
10.10860000	0.999866	0.999940	0.00007441	419623.874281
10.20180000	0.999426	0.999459	0.00003346	419422.046850
10.29500000	1.000952	1.000819	-0.00013291	419992.610834
10.38810000	0.997303	0.997587	0.00028406	418636.293843
10.48130000	1.000720	1.000517	-0.00020347	419865.645255
10.57450000	0.999328	0.999416	0.00008784	419403.742504
