# velocidad_mm/s	Normos_PLT_exp	Doblado_256p5_norm	diferencia	Doblado_256p5_cuentas
5.54340000	0.994504	0.994503	-0.00000054	417342.500000
5.63660000	0.995736	0.995735	-0.00000056	417859.500000
5.72980000	0.996954	0.996953	-0.00000087	418370.500000
5.82290000	0.996740	0.996740	-0.00000015	418281.000000
5.91610000	0.999899	0.999898	-0.00000055	419606.500000
6.00930000	0.997137	0.997137	-0.00000039	418447.500000
6.10240000	0.997176	0.997176	-0.00000007	418464.000000
6.19560000	0.998941	0.998941	-0.00000050	419204.500000
6.28880000	0.999011	0.999011	-0.00000020	419234.000000
6.38190000	0.999698	0.999697	-0.00000091	419522.000000
6.47510000	0.997914	0.997913	-0.00000055	418773.500000
6.56830000	0.998349	0.998348	-0.00000066	418956.000000
6.66140000	0.996769	0.996768	-0.00000055	418293.000000
6.75460000	0.997714	0.997713	-0.00000071	418689.500000
6.84780000	0.999117	0.999117	-0.00000016	419278.500000
6.94090000	1.000882	1.000881	-0.00000059	420019.000000
7.03410000	0.999092	0.999092	-0.00000018	419268.000000
7.12730000	0.997742	0.997742	-0.00000012	418701.500000
7.22040000	0.997442	0.997442	-0.00000037	418575.500000
7.31360000	0.998400	0.998400	-0.00000043	418977.500000
7.40680000	0.998837	0.998837	-0.00000016	419161.000000
7.49990000	0.998438	0.998438	-0.00000030	418993.500000
7.59310000	0.997105	0.997104	-0.00000056	418434.000000
7.68630000	0.999810	0.999809	-0.00000092	419569.000000
7.77940000	0.996409	0.996409	-0.00000038	418142.000000
7.87260000	0.998379	0.998378	-0.00000087	418968.500000
7.96580000	0.996585	0.996585	-0.00000004	418216.000000
8.05900000	0.996375	0.996374	-0.00000093	418127.500000
8.15210000	0.998267	0.998266	-0.00000087	418921.500000
8.24530000	1.000272	1.000271	-0.00000062	419763.000000
8.33850000	0.996501	0.996500	-0.00000063	418180.500000
8.43160000	0.998122	0.998122	-0.00000004	418861.000000
8.52480000	0.997869	0.997868	-0.00000082	418754.500000
8.61800000	0.998394	0.998394	-0.00000038	418975.000000
8.71110000	0.999026	0.999025	-0.00000090	419240.000000
8.80430000	0.998804	0.998803	-0.00000052	419147.000000
8.89750000	0.998623	0.998622	-0.00000062	419071.000000
8.99060000	0.997689	0.997688	-0.00000073	418679.000000
9.08380000	0.995467	0.995466	-0.00000083	417746.500000
9.17700000	0.999285	0.999285	-0.00000016	419349.000000
9.27010000	0.996609	0.996609	-0.00000021	418226.000000
9.36330000	1.000146	1.000145	-0.00000092	419710.000000
9.45650000	0.999140	0.999139	-0.00000052	419288.000000
9.54960000	1.000663	1.000662	-0.00000082	419927.000000
