 Velocity_(mm/s)           Experimental_data         Total_Fit                 subspectra_1              rest                      
  -2.2826000000000000       0.99124999999999996       0.99947399999999997       -8.2240000000000091E-003   0.0000000000000000     
  -2.1894000000000000       0.98821300000000001       0.99946900000000005       -1.1256000000000044E-002   0.0000000000000000     
  -2.0962999999999998       0.98600600000000005       0.99945200000000001       -1.3445999999999958E-002   0.0000000000000000     
  -2.0030999999999999       0.98205900000000002       0.99942399999999998       -1.7364999999999964E-002   0.0000000000000000     
  -1.9098999999999999       0.97592800000000002       0.99938000000000005       -2.3452000000000028E-002   0.0000000000000000     
  -1.8168000000000000       0.97394000000000003       0.99931599999999998       -2.5375999999999954E-002   0.0000000000000000     
  -1.7236000000000000       0.97821999999999998       0.99922299999999997       -2.1002999999999994E-002   0.0000000000000000     
  -1.6304000000000001       0.98508799999999996       0.99909099999999995       -1.4002999999999988E-002   0.0000000000000000     
  -1.5373000000000001       0.98514500000000005       0.99889700000000003       -1.3751999999999986E-002   0.0000000000000000     
  -1.4440999999999999       0.98794800000000005       0.99860800000000005       -1.0660000000000003E-002   0.0000000000000000     
  -1.3509000000000000       0.98808900000000000       0.99816700000000003       -1.0078000000000031E-002   0.0000000000000000     
  -1.2578000000000000       0.98755800000000005       0.99748700000000001       -9.9289999999999656E-003   0.0000000000000000     
  -1.1646000000000001       0.98858199999999996       0.99648499999999995       -7.9029999999999934E-003   0.0000000000000000     
  -1.0713999999999999       0.98638300000000001       0.99528300000000003       -8.9000000000000190E-003   0.0000000000000000     
 -0.97829999999999995       0.98522200000000004       0.99459299999999995       -9.3709999999999072E-003   0.0000000000000000     
 -0.88510000000000000       0.98209199999999996       0.99512199999999995       -1.3029999999999986E-002   0.0000000000000000     
 -0.79190000000000005       0.98109800000000003       0.99630700000000005       -1.5209000000000028E-002   0.0000000000000000     
 -0.69879999999999998       0.97611599999999998       0.99735399999999996       -2.1237999999999979E-002   0.0000000000000000     
 -0.60560000000000003       0.96856799999999998       0.99807500000000005       -2.9507000000000061E-002   0.0000000000000000     
 -0.51239999999999997       0.95633500000000005       0.99854100000000001       -4.2205999999999966E-002   0.0000000000000000     
 -0.41930000000000001       0.94414200000000004       0.99884399999999995       -5.4701999999999917E-002   0.0000000000000000     
 -0.32610000000000000       0.93111400000000000       0.99904400000000004       -6.7930000000000046E-002   0.0000000000000000     
 -0.23290000000000000       0.91208599999999995       0.99917800000000001       -8.7092000000000058E-002   0.0000000000000000     
 -0.13980000000000001       0.91568899999999998       0.99926700000000002       -8.3578000000000041E-002   0.0000000000000000     
